"State FIPS Code","Postal Code","Name","Poverty Estimate, All Ages","90% CI Lower Bound","90% CI Upper Bound","Poverty Percent, All Ages","90% CI Lower Bound","90% CI Upper Bound","Poverty Estimate, Age 0-17","90% CI Lower Bound","90% CI Upper Bound","Poverty Percent, Age 0-17","90% CI Lower Bound","90% CI Upper Bound","Poverty Estimate, Age 5-17 in Families","90% CI Lower Bound","90% CI Upper Bound","Poverty Percent, Age 5-17 in Families","90% CI Lower Bound","90% CI Upper Bound","Median Household Income","90% CI Lower Bound","90% CI Upper Bound","Poverty Estimate, Age 0-4","90% CI Lower Bound","90% CI Upper Bound","Poverty Percent, Age 0-4","90% CI Lower Bound","90% CI Upper Bound"
"00","US","United States","48208387.0","47966830.0","48449944.0","15.5","15.4","15.6","15686012.0","15564145.0","15807879.0","21.7","21.5","21.9","10714518.0","10632252.0","10796784.0","20.4","20.2","20.6","53657.0","53564.0","53750.0","4658187.0","4609104.0","4707270.0","23.9","23.7","24.1"
"01","AL","Alabama","905682.0","888317.0","923047.0","19.2","18.8","19.6","298682.0","290188.0","307176.0","27.4","26.6","28.2","207154.0","199920.0","214388.0","25.9","25.0","26.8","42917.0","42335.0","43499.0","88203.0","83938.0","92468.0","30.6","29.1","32.1"
"02","AK","Alaska","81622.0","77611.0","85633.0","11.4","10.8","12.0","28273.0","26300.0","30246.0","15.5","14.4","16.6","18113.0","16500.0","19726.0","14.1","12.8","15.4","70898.0","69423.0","72373.0","9170.0","8090.0","10250.0","17.4","15.3","19.5"
"04","AZ","Arizona","1195889.0","1175667.0","1216111.0","18.2","17.9","18.5","406457.0","396052.0","416862.0","25.6","24.9","26.3","278735.0","269805.0","287665.0","24.0","23.2","24.8","50036.0","49561.0","50511.0","118958.0","113468.0","124448.0","28.4","27.1","29.7"
"05","AR","Arkansas","539999.0","528604.0","551394.0","18.7","18.3","19.1","183334.0","177391.0","189277.0","26.3","25.4","27.2","123704.0","118685.0","128723.0","24.5","23.5","25.5","41335.0","40702.0","41968.0","55833.0","52857.0","58809.0","29.7","28.1","31.3"
"06","CA","California","6253423.0","6203456.0","6303390.0","16.4","16.3","16.5","2040811.0","2011678.0","2069944.0","22.6","22.3","22.9","1424469.0","1398503.0","1450435.0","21.9","21.5","22.3","61927.0","61689.0","62165.0","575759.0","562058.0","589460.0","23.4","22.8","24.0"
"08","CO","Colorado","632987.0","617871.0","648103.0","12.1","11.8","12.4","191679.0","183332.0","200026.0","15.6","14.9","16.3","133066.0","125733.0","140399.0","14.9","14.1","15.7","61324.0","60846.0","61802.0","53751.0","49938.0","57564.0","16.3","15.1","17.5"
"09","CT","Connecticut","375281.0","364395.0","386167.0","10.8","10.5","11.1","113733.0","107953.0","119513.0","14.9","14.1","15.7","78909.0","73844.0","83974.0","13.7","12.8","14.6","70007.0","69219.0","70795.0","31176.0","28561.0","33791.0","16.8","15.4","18.2"
"10","DE","Delaware","118032.0","113079.0","122985.0","13.0","12.5","13.5","38543.0","36281.0","40805.0","19.2","18.1","20.3","25833.0","23961.0","27705.0","17.8","16.5","19.1","59853.0","58463.0","61243.0","11983.0","10803.0","13163.0","21.8","19.7","23.9"
"11","DC","District of Columbia","114790.0","108967.0","120613.0","18.4","17.5","19.3","32807.0","29187.0","36427.0","28.9","25.7","32.1","20378.0","17109.0","23647.0","28.6","24.0","33.2","69992.0","68375.0","71609.0","11879.0","10525.0","13233.0","28.3","25.1","31.5"
"12","FL","Florida","3231142.0","3187670.0","3274614.0","16.6","16.4","16.8","962857.0","940621.0","985093.0","24.2","23.6","24.8","666307.0","647128.0","685486.0","22.9","22.2","23.6","47439.0","47113.0","47765.0","280898.0","270364.0","291432.0","26.5","25.5","27.5"
"13","GA","Georgia","1802783.0","1775584.0","1829982.0","18.4","18.1","18.7","646960.0","631217.0","662703.0","26.3","25.7","26.9","447407.0","433676.0","461138.0","24.8","24.0","25.6","49240.0","48708.0","49772.0","191807.0","184192.0","199422.0","29.6","28.4","30.8"
"15","HI","Hawaii","158266.0","151850.0","164682.0","11.5","11.0","12.0","45637.0","42587.0","48687.0","15.2","14.2","16.2","31378.0","28808.0","33948.0","14.9","13.7","16.1","69549.0","68236.0","70862.0","12875.0","11340.0","14410.0","14.6","12.9","16.3"
"16","ID","Idaho","237604.0","230083.0","245125.0","14.8","14.3","15.3","80668.0","76639.0","84697.0","19.0","18.1","19.9","54061.0","50551.0","57571.0","17.3","16.2","18.4","47572.0","46434.0","48710.0","24774.0","22973.0","26575.0","22.4","20.8","24.0"
"17","IL","Illinois","1802337.0","1778953.0","1825721.0","14.3","14.1","14.5","591750.0","577617.0","605883.0","20.1","19.6","20.6","404950.0","392935.0","416965.0","18.8","18.2","19.4","57458.0","57035.0","57881.0","175611.0","168354.0","182868.0","22.7","21.8","23.6"
"18","IN","Indiana","968437.0","950798.0","986076.0","15.2","14.9","15.5","328349.0","318378.0","338320.0","21.2","20.6","21.8","217465.0","209291.0","225639.0","19.3","18.6","20.0","49384.0","48906.0","49862.0","103837.0","98555.0","109119.0","25.4","24.1","26.7"
"19","IA","Iowa","368678.0","358553.0","378803.0","12.3","12.0","12.6","110382.0","104929.0","115835.0","15.5","14.7","16.3","74948.0","69961.0","79935.0","14.5","13.5","15.5","53816.0","53087.0","54545.0","31946.0","29841.0","34051.0","16.7","15.6","17.8"
"20","KS","Kansas","381506.0","371806.0","391206.0","13.5","13.2","13.8","125562.0","120243.0","130881.0","17.6","16.9","18.3","83873.0","79397.0","88349.0","16.4","15.5","17.3","52392.0","51712.0","53072.0","38604.0","35853.0","41355.0","19.6","18.2","21.0"
"21","KY","Kentucky","812803.0","797212.0","828394.0","19.0","18.6","19.4","256368.0","249013.0","263723.0","25.9","25.2","26.6","171281.0","165044.0","177518.0","24.0","23.1","24.9","42914.0","42243.0","43585.0","79636.0","75937.0","83335.0","29.7","28.3","31.1"
"22","LA","Louisiana","898902.0","882243.0","915561.0","19.9","19.5","20.3","307469.0","298623.0","316315.0","28.0","27.2","28.8","207577.0","200114.0","215040.0","26.3","25.4","27.2","44680.0","43971.0","45389.0","95627.0","91157.0","100097.0","31.6","30.1","33.1"
"23","ME","Maine","181737.0","175900.0","187574.0","14.0","13.5","14.5","47862.0","45193.0","50531.0","19.0","17.9","20.1","31873.0","29590.0","34156.0","17.0","15.8","18.2","49381.0","48366.0","50396.0","14555.0","13226.0","15884.0","23.0","20.9","25.1"
"24","MD","Maryland","604762.0","588802.0","620722.0","10.4","10.1","10.7","183531.0","174546.0","192516.0","13.8","13.1","14.5","126829.0","119057.0","134601.0","13.2","12.4","14.0","73851.0","73027.0","74675.0","51742.0","47493.0","55991.0","14.3","13.1","15.5"
"25","MA","Massachusetts","760211.0","743843.0","776579.0","11.7","11.4","12.0","209291.0","200777.0","217805.0","15.3","14.7","15.9","143026.0","135555.0","150497.0","14.2","13.5","14.9","69200.0","68303.0","70097.0","61154.0","57232.0","65076.0","17.1","16.0","18.2"
"26","MI","Michigan","1567465.0","1544878.0","1590052.0","16.2","16.0","16.4","492257.0","482045.0","502469.0","22.6","22.1","23.1","336070.0","327094.0","345046.0","20.8","20.2","21.4","49755.0","49373.0","50137.0","144887.0","140024.0","149750.0","26.0","25.1","26.9"
"27","MN","Minnesota","607870.0","594503.0","621237.0","11.4","11.1","11.7","186025.0","178092.0","193958.0","14.8","14.2","15.4","123053.0","116214.0","129892.0","13.5","12.8","14.2","61473.0","61010.0","61936.0","57480.0","53738.0","61222.0","16.8","15.7","17.9"
"28","MS","Mississippi","634960.0","621876.0","648044.0","21.9","21.4","22.4","220885.0","213417.0","228353.0","30.7","29.7","31.7","154129.0","147643.0","160615.0","29.4","28.2","30.6","39738.0","38998.0","40478.0","63695.0","60086.0","67304.0","33.3","31.4","35.2"
"29","MO","Missouri","908394.0","890929.0","925859.0","15.5","15.2","15.8","289287.0","279932.0","298642.0","21.3","20.6","22.0","192099.0","184094.0","200104.0","19.5","18.7","20.3","48288.0","47734.0","48842.0","89931.0","85139.0","94723.0","24.7","23.4","26.0"
"30","MT","Montana","151915.0","146451.0","157379.0","15.2","14.7","15.7","42150.0","39999.0","44301.0","19.2","18.2","20.2","28508.0","26711.0","30305.0","18.0","16.9","19.1","46608.0","45512.0","47704.0","12452.0","11325.0","13579.0","20.8","18.9","22.7"
"31","NE","Nebraska","225054.0","218509.0","231599.0","12.3","11.9","12.7","73270.0","69375.0","77165.0","16.0","15.2","16.8","48249.0","45075.0","51423.0","14.7","13.7","15.7","52803.0","52139.0","53467.0","23075.0","20914.0","25236.0","18.0","16.3","19.7"
"32","NV","Nevada","430447.0","418251.0","442643.0","15.4","15.0","15.8","144947.0","138676.0","151218.0","22.2","21.2","23.2","96913.0","91607.0","102219.0","20.2","19.1","21.3","51487.0","50828.0","52146.0","45395.0","42193.0","48597.0","26.3","24.4","28.2"
"33","NH","New Hampshire","117822.0","112610.0","123034.0","9.2","8.8","9.6","33155.0","30479.0","35831.0","12.6","11.6","13.6","22097.0","19783.0","24411.0","11.1","9.9","12.3","66469.0","65316.0","67622.0","9641.0","8415.0","10867.0","15.2","13.3","17.1"
"34","NJ","New Jersey","972441.0","954252.0","990630.0","11.1","10.9","11.3","314073.0","303483.0","324663.0","15.8","15.3","16.3","216685.0","207290.0","226080.0","14.8","14.2","15.4","71968.0","71536.0","72400.0","91945.0","86798.0","97092.0","17.6","16.6","18.6"
"35","NM","New Mexico","420388.0","409771.0","431005.0","20.6","20.1","21.1","138918.0","133752.0","144084.0","28.0","27.0","29.0","93819.0","89538.0","98100.0","26.2","25.0","27.4","44905.0","44100.0","45710.0","42581.0","39913.0","45249.0","31.5","29.5","33.5"
"36","NY","New York","3082613.0","3046367.0","3118859.0","16.0","15.8","16.2","949253.0","930163.0","968343.0","22.9","22.4","23.4","646557.0","631790.0","661324.0","21.7","21.2","22.2","58771.0","58381.0","59161.0","284767.0","272691.0","296843.0","24.6","23.6","25.6"
"37","NC","North Carolina","1663954.0","1640565.0","1687343.0","17.2","17.0","17.4","544149.0","530093.0","558205.0","24.1","23.5","24.7","373438.0","361052.0","385824.0","22.6","21.8","23.4","46596.0","46219.0","46973.0","161245.0","154616.0","167874.0","27.1","26.0","28.2"
"38","ND","North Dakota","79203.0","75164.0","83242.0","11.1","10.5","11.7","22572.0","20816.0","24328.0","13.7","12.6","14.8","14011.0","12593.0","15429.0","12.3","11.1","13.5","60227.0","58786.0","61668.0","7779.0","6781.0","8777.0","15.7","13.7","17.7"
"39","OH","Ohio","1778288.0","1755728.0","1800848.0","15.8","15.6","16.0","588618.0","574885.0","602351.0","22.7","22.2","23.2","395792.0","383745.0","407839.0","20.8","20.2","21.4","49349.0","48991.0","49707.0","180249.0","174013.0","186485.0","26.7","25.8","27.6"
"40","OK","Oklahoma","623162.0","611984.0","634340.0","16.6","16.3","16.9","209022.0","202988.0","215056.0","22.4","21.8","23.0","141065.0","135957.0","146173.0","21.1","20.3","21.9","47524.0","47077.0","47971.0","63940.0","60806.0","67074.0","24.8","23.6","26.0"
"41","OR","Oregon","637156.0","621361.0","652951.0","16.4","16.0","16.8","179110.0","171930.0","186290.0","21.3","20.4","22.2","117394.0","111176.0","123612.0","19.3","18.3","20.3","51088.0","50607.0","51569.0","56119.0","52798.0","59440.0","25.0","23.5","26.5"
"42","PA","Pennsylvania","1679008.0","1656324.0","1701692.0","13.6","13.4","13.8","510371.0","497968.0","522774.0","19.2","18.7","19.7","345676.0","334721.0","356631.0","17.8","17.2","18.4","53224.0","52810.0","53638.0","152168.0","146131.0","158205.0","21.7","20.8","22.6"
"44","RI","Rhode Island","149825.0","144246.0","155404.0","14.8","14.3","15.3","44563.0","42149.0","46977.0","21.2","20.1","22.3","29926.0","27885.0","31967.0","19.2","17.9","20.5","54797.0","53523.0","56071.0","13747.0","12527.0","14967.0","25.6","23.3","27.9"
"45","SC","South Carolina","838065.0","822623.0","853507.0","17.9","17.6","18.2","281738.0","272769.0","290707.0","26.4","25.6","27.2","195415.0","187815.0","203015.0","25.1","24.1","26.1","45337.0","44839.0","45835.0","81681.0","77091.0","86271.0","28.7","27.1","30.3"
"46","SD","South Dakota","115906.0","111520.0","120292.0","14.1","13.6","14.6","37836.0","35834.0","39838.0","18.4","17.4","19.4","23496.0","21935.0","25057.0","16.1","15.0","17.2","51059.0","50111.0","52007.0","13429.0","12229.0","14629.0","22.7","20.7","24.7"
"47","TN","Tennessee","1165245.0","1145236.0","1185254.0","18.2","17.9","18.5","380159.0","369180.0","391138.0","25.9","25.2","26.6","260262.0","250713.0","269811.0","24.3","23.4","25.2","44357.0","43810.0","44904.0","113943.0","108558.0","119328.0","29.2","27.8","30.6"
"48","TX","Texas","4519548.0","4474578.0","4564518.0","17.2","17.0","17.4","1721843.0","1695196.0","1748490.0","24.5","24.1","24.9","1185167.0","1162199.0","1208135.0","23.3","22.8","23.8","53067.0","52694.0","53440.0","510649.0","498392.0","522906.0","26.5","25.9","27.1"
"49","UT","Utah","341587.0","330845.0","352329.0","11.8","11.4","12.2","120155.0","113195.0","127115.0","13.4","12.6","14.2","81347.0","75358.0","87336.0","12.7","11.8","13.6","60943.0","60307.0","61579.0","35687.0","32291.0","39083.0","14.4","13.0","15.8"
"50","VT","Vermont","72294.0","68859.0","75729.0","12.0","11.4","12.6","18374.0","16966.0","19782.0","15.4","14.2","16.6","12473.0","11267.0","13679.0","14.1","12.7","15.5","54153.0","52739.0","55567.0","5157.0","4469.0","5845.0","17.4","15.1","19.7"
"51","VA","Virginia","955541.0","936889.0","974193.0","11.8","11.6","12.0","292525.0","282366.0","302684.0","15.9","15.3","16.5","199966.0","191248.0","208684.0","15.0","14.3","15.7","64923.0","64318.0","65528.0","85189.0","80025.0","90353.0","16.9","15.9","17.9"
"53","WA","Washington","913463.0","895355.0","931571.0","13.2","12.9","13.5","275662.0","265882.0","285442.0","17.5","16.9","18.1","180464.0","171990.0","188938.0","16.0","15.2","16.8","61358.0","60882.0","61834.0","85453.0","80800.0","90106.0","19.6","18.5","20.7"
"54","WV","West Virginia","328734.0","320351.0","337117.0","18.3","17.8","18.8","91659.0","88030.0","95288.0","25.0","24.0","26.0","61365.0","58228.0","64502.0","23.1","21.9","24.3","41030.0","40399.0","41661.0","28483.0","26640.0","30326.0","28.7","26.8","30.6"
"55","WI","Wisconsin","737307.0","723342.0","751272.0","13.2","13.0","13.4","233850.0","226399.0","241301.0","18.4","17.8","19.0","155813.0","149525.0","162101.0","16.7","16.0","17.4","52632.0","52206.0","53058.0","71850.0","67945.0","75755.0","21.5","20.3","22.7"
"56","WY","Wyoming","63860.0","60264.0","67456.0","11.2","10.6","11.8","18580.0","17090.0","20070.0","13.7","12.6","14.8","11933.0","10692.0","13174.0","12.2","10.9","13.5","58291.0","56701.0","59881.0","5794.0","5043.0","6545.0","15.5","13.5","17.5"
