,State,Population over 65,Male (%),Female (%),White (%),Black (%),Native American (%),Asian (%),Native Hawaiian and Pacific Islander (%),Two or More Races (%),Hispanic (%)
Alabama,AL,2967264.0,43.21785995449006,56.782140045509934,79.90714678572584,18.243877187874084,0.4750504168149514,0.6559578116406225,0.025478016111812093,0.6924897818326917,49.52865670193148
Alaska,AK,279576.0,49.58794746330157,50.412052536698425,76.86782842590209,2.0574012075428505,12.408790454116234,5.923255215039918,0.4378058202420809,2.304918877156837,48.77028071079062
Arizona,AZ,4239816.0,46.08624525215245,53.913754747847555,92.5759985810705,2.212926221326586,2.4288789890882057,1.953575343835676,0.09689099715648038,0.7317298675225529,44.12559412955657
Arkansas,AR,1862060.0,44.25142046980226,55.74857953019774,88.55482637508996,9.30925963717603,0.5589508393929304,0.6309141488459019,0.03845203699128921,0.9075969625038935,49.319785613782585
California,CA,19803224.0,44.155315316334345,55.84468468366565,77.23057619304817,5.423359347952637,0.9329995964293492,14.69205216281955,0.2953256500052719,1.4256870497450316,40.60292404913463
Colorado,CO,2702640.0,45.39280111298582,54.60719888701418,93.38543054198858,2.7143829736849896,0.8134268715034189,2.217683450256046,0.07237367906935441,0.7967024834976171,44.96795725660835
Connecticut,CT,2252040.0,42.95412159641925,57.04587840358075,90.37512655192626,6.721550238894514,0.23551979538551712,2.083799577272162,0.02877391165343422,0.5552299248681195,47.35786220493419
Delaware,DE,615796.0,44.397820057291696,55.6021799427083,83.05088048639485,13.763649000643069,0.37544901233525385,2.1481139858004923,0.027281762142008066,0.6346257526843305,48.88144775217767
District of Columbia,DC,309376.0,40.777565163425734,59.222434836574266,37.09660736450145,59.06728382292098,0.39304923458833263,2.23158874637981,0.06852503103020273,1.1429458005792303,47.64170459247
Florida,FL,15082188.0,44.96750736696824,55.03249263303176,88.98167825517093,8.487680965122566,0.2545254044041886,1.6366060415106882,0.04124070061983049,0.5982686331717918,42.868660700953996
Georgia,GA,4992452.0,43.4103322375458,56.5896677624542,74.78497539886212,21.89521301356528,0.2582298237419208,2.3522709882839132,0.035092976357108695,0.6742177991896567,48.83436035038494
Hawaii,HI,918924.0,44.9560573018008,55.0439426981992,28.097209344842444,0.6007025608211343,0.1971871449651984,55.14144804140495,6.1920245852758224,9.77142832269045,48.482573096360525
Idaho,ID,925752.0,47.08172383100442,52.91827616899558,97.11931489210933,0.18536281855183678,0.9017533853559053,0.8684831358722422,0.06438009315669856,0.8607056749539833,48.31574763003483
Illinois,IL,7196932.0,43.02133186752355,56.97866813247645,83.67187573816176,11.500900661559674,0.25377480292991517,4.002260963421636,0.024288127218653727,0.5468997067083585,46.980741238072
Indiana,IN,3767316.0,43.492077648915036,56.50792235108496,92.43280892816,5.955221170722074,0.22212100073367883,0.8499419746047319,0.019217925971699745,0.5206889998078207,49.09919953622154
Iowa,IA,1958552.0,43.81440982930246,56.18559017069753,97.67154510066621,1.097953998668404,0.15930136141394255,0.7393217029724,0.021444414036492266,0.3104334222425547,49.424779122535426
Kansas,KS,1658416.0,44.1611754831116,55.83882451688841,93.66190388901217,3.6642193514775547,0.566805916006599,1.3543043482455548,0.0359379070148865,0.7168285882432394,48.407998958041894
Kentucky,KY,2618168.0,43.7967311494144,56.203268850585594,93.51103519713021,5.0300821032111,0.19677881633264177,0.6233366231655112,0.02154178035939634,0.6172254798011434,49.59666453795173
Louisiana,LA,2537576.0,43.453910345936436,56.54608965406356,74.1848125928051,23.515985334035317,0.535471646957569,1.0758298470666494,0.025536180985318273,0.6623643981500456,48.808390369391894
Maine,ME,972768.0,45.08001907957498,54.91998092042502,98.20429948353564,0.33471495772887266,0.34787328530543765,0.5300338826935097,0.011924734366262048,0.5711536563702754,49.76171091154315
Maryland,MD,3286900.0,43.056618698469684,56.943381301530316,70.86969484925005,23.14460433843439,0.27965560254342997,4.871459429857921,0.03784721165840153,0.7967385682558034,48.5944202744227
Massachusetts,MA,4082484.0,42.76660974054032,57.23339025945968,91.11286167931092,4.734470484146417,0.23436711570700583,3.279180028629628,0.043796864849929604,0.5953238273560901,48.08959447238495
Michigan,MI,6124864.0,44.125845079988714,55.874154920011286,87.31824902561101,10.053970177950074,0.4171847734088463,1.5272828915058358,0.01900450361020261,0.6643086279140239,49.19289636471928
Minnesota,MN,3110104.0,44.6376069739147,55.3623930260853,95.37571733935586,1.87119144568799,0.5676980576855307,1.7550538502892505,0.01942057243101838,0.4109187345503558,49.4819465844229
Mississippi,MS,1704688.0,43.14619449424176,56.85380550575824,73.59681067737908,25.005631529053996,0.3050411570915029,0.5619796701801151,0.023699351435570615,0.506837614859728,49.54091305857729
Missouri,MO,3730236.0,43.807308706473265,56.19269129352674,90.3651136281994,7.567778553421285,0.3446430735213536,0.9770963552976273,0.03163338727093942,0.7137350022893993,49.41199430813493
Montana,MT,678340.0,47.586755904118874,52.41324409588112,95.70952619630275,0.11793495887018308,2.755550314001828,0.41866910398915,0.048943007931125986,0.9493764189049739,49.43184833564289
Nebraska,NE,1083268.0,44.25534586085807,55.74465413914192,95.85402688900622,2.3802050831373216,0.438672609178892,0.9397489817847475,0.032494267346584595,0.3548521695462249,48.80029687944257
Nevada,NV,1600164.0,47.53162800812917,52.46837199187083,83.1389782547289,6.193865128824296,0.9549021225324404,8.069922832909626,0.40295869673358486,1.2393729642711622,45.102377006356846
New Hampshire,NH,849028.0,45.289436861917395,54.71056313808261,97.76026232350405,0.47960726854709146,0.16442331701663548,1.078880790739528,0.00989366663996947,0.5069326335527214,49.517330406064346
New Jersey,NJ,5269872.0,42.45909578069448,57.54090421930551,82.43820722780364,10.4520944721238,0.28448508806286,6.088800638801095,0.043416614293478095,0.6929959589151311,45.44228019200467
New Mexico,NM,1269060.0,45.54426110664586,54.45573889335413,90.4442658345547,1.4492616582352293,5.865128520322129,1.1510882070193686,0.08100483822671899,1.0092509416418451,33.916126897073426
New York,NY,11694912.0,42.35927555504479,57.640724444955204,79.11218143411426,13.399057641476908,0.5145827518838961,6.0132816732609875,0.06426726425987643,0.896629235004077,44.76112346976189
North Carolina,NC,5835596.0,43.37634065140904,56.62365934859096,81.10767092170191,16.164518585590915,0.9142510893488857,1.2403188980183002,0.029131557427895968,0.5441089479120899,49.14267540110727
North Dakota,ND,418536.0,44.81526081388459,55.184739186115415,96.79931953284783,0.24466234684710517,2.0624271269377066,0.5007932412026683,0.013379972093201064,0.37941778007148724,49.75820479003001
Ohio,OH,7199992.0,43.280992534436145,56.719007465563855,89.49893277659197,8.706565229516922,0.17855575395083773,1.070334522593914,0.018666687407430452,0.5269450299389222,49.433749370832636
Oklahoma,OK,2244544.0,44.32561803199224,55.67438196800776,86.18748396110747,4.640764449260073,5.391562829688346,1.0820906161786092,0.04455247925636566,2.6535456645091386,48.86088221037324
Oregon,OR,2511540.0,45.49829984790208,54.50170015209792,94.35660988875352,0.9573409143394094,0.8595523065529517,2.534222031104422,0.1269340723221609,1.1653407869275425,48.575535328921696
Pennsylvania,PA,8538972.0,42.99159196212378,57.00840803787622,90.70735915283478,7.089518504100963,0.15374216006329566,1.621600351892476,0.01948712327432389,0.4082927078341515,49.036769297287776
Rhode Island,RI,666240.0,42.46277617675312,57.537223823246876,93.69836695485111,3.6281219980787704,0.42807396733909703,1.5021613832853027,0.05943804034582133,0.6838376560999039,47.78158021133525
South Carolina,SC,3043484.0,44.265059385888016,55.734940614111984,78.33890370378158,19.97263662302808,0.30465085408696085,0.8780726299201836,0.021422816745545567,0.48431337243764055,49.36592405282893
South Dakota,SD,513304.0,45.33220080108474,54.66779919891527,95.38674937269143,0.3350840827268052,3.3796736436887307,0.3584620419868148,0.024936489877343638,0.5150943690288795,49.63842089677852
Tennessee,TN,3931888.0,43.88863568850384,56.11136431149616,87.96954541940157,10.253089609876985,0.26867499786362176,0.8492612200550982,0.023907089927281754,0.6355216628754431,49.47628213214619
Texas,TX,12319260.0,44.3600995514341,55.6399004485659,86.46210892537376,8.85735019798267,0.6267908949076486,3.276527973271122,0.05698394221730851,0.7202380662474857,39.10637489589472
United States,US,0.0,,,,,,,,,
Utah,UT,1176544.0,46.1466804471401,53.8533195528599,96.04230696004569,0.4725705116000761,0.7530530094922077,1.769589577610357,0.439592569423668,0.5228873718279979,47.471067805368946
Vermont,VT,422556.0,45.47184278533496,54.52815721466504,98.16829012012609,0.2868258881663022,0.25558742509868515,0.528214011870616,0.017039161673245675,0.7440433930650612,49.667263037325235
Virginia,VA,4591688.0,44.00081190185396,55.99918809814605,79.66151010260279,15.125156587294258,0.3035049419734094,4.124234921884937,0.04120489022773324,0.7443885560168723,48.78754828289727
Washington,WA,3942632.0,45.41707164148214,54.58292835851787,89.50518333945445,1.964778858386986,0.9618955053375511,6.161670680905548,0.2515071150439605,1.154964500871499,48.48152198835702
West Virginia,WV,1317204.0,44.858958824904875,55.141041175095125,96.49651838287767,2.1831090704249303,0.1931363706760684,0.47646378237539516,0.013665309245948234,0.6371070843999866,49.72684565185043
Wisconsin,WI,3481504.0,44.69746408448763,55.30253591551237,95.24630734303335,2.9358576063678226,0.514375396380415,0.9244280632738034,0.0187275384431556,0.36030405250144765,49.24061555006112
Wyoming,WY,327824.0,47.43764947044756,52.56235052955244,96.89223485772854,0.5685977841768753,1.2445702572111865,0.4953877690468056,0.04880667675337986,0.7504026550832154,47.897042315388745
